Temperature,Cp,Cp_uncertainty,H,H_uncertainty,S,S_uncertainty,G,G_uncertainty
100.0,28.3998828467275,3.0,9813.4386847176,13850.013810196953,175.94125921008126,16.6218696653767,9795.84455879659,13851.388788179771
110.0,28.399882846727557,3.0,9896.583310899128,13967.598068181314,177.82805183252816,16.899228189866083,9877.02222519755,13968.972591405507
120.0,28.399882846728786,3.0,9979.727937080666,14085.182326165686,179.5940943048633,17.152436684333104,9958.176645764082,14086.551804328175
130.0,28.399882846744937,3.0,10062.872563262263,14202.766584150142,181.25874048127667,17.385365919615786,10039.308926999698,14204.127991780048
140.0,28.39988284688859,3.0,10146.017189444457,14320.350842135442,182.83703441859527,17.6010247070795,10120.420004625854,14321.7024770711
150.0,28.399882847823456,3.0,10229.161815630974,14437.935100126855,184.34090205769957,17.801798234900357,10201.510680322319,14439.27639394773
160.0,28.399882852545886,3.0,10312.306441841301,14555.519358151942,185.77995752038498,17.989609327437446,10282.581648638039,14556.85072465048
170.0,28.399882871922863,3.0,10395.451068157017,14673.103616326069,187.16206453689944,18.16603073074034,10363.633517185744,14674.426328473512
180.0,28.399882938830604,3.0,10478.595694861217,14790.687875049596,188.4937371564432,18.332365254649087,10444.666822173056,14792.003963728917
190.0,28.399883138758277,3.0,10561.740322793814,14908.27213551034,189.7804319735713,18.48970421807471,10525.682040718835,14909.58430516466
200.0,28.399883667420497,3.0,10644.884954138392,15025.856400796352,191.0267653127476,18.638970885909966,10606.679601075843,15027.1679584216
210.0,28.399884927025738,3.0,10728.029593968886,15143.440678083265,192.2366773723045,18.780953297821352,10687.659891720703,15144.755472888653
220.0,28.39988767139557,3.0,10811.174252996088,15261.02498251842,193.4135581538485,18.91632945413015,10768.62327020224,15262.347354216216
230.0,28.399893205856827,3.0,10894.31895203673,15378.609343541126,194.5603453836763,19.045686900095706,10849.570072598484,15379.94407769039
240.0,28.39990364131912,3.0,10977.46372875597,15496.193814417958,195.67960158826736,19.16953814101392,10930.500624374787,15497.546103588693
250.0,28.39992219442332,3.0,11060.60864719094,15613.778485711096,196.77357543675532,19.288332910711517,11011.41525333175,15615.153895491183
260.0,28.399953518548152,3.0,11143.75381044529,15731.363503231125,197.8442510575922,19.40246803487889,11092.314305170317,15732.767942292821
270.0,28.400004045055653,3.0,11226.89937676387,15848.949090770051,198.89338805559134,19.512295434478716,11173.19816198886,15850.388784362309
280.0,28.40008231124674,3.0,11310.045578973426,15966.535577594621,199.92255426007813,19.61812867537607,11254.067263780604,15968.017043944035
290.0,28.400199251344375,3.0,11393.192747037156,16084.123430343263,200.93315273479382,19.72024837031921,11334.922132744065,16085.653459538215
300.0,28.400368429189747,3.0,11476.341333243827,16201.713288648885,201.92644421590666,19.81890666654178,11415.763399979056,16203.29892365477
310.0,28.40060619565596,3.0,11559.49193935945,16319.306003537144,202.90356587594377,19.914330998549204,11496.591833937908,16320.954523049408
320.0,28.400931759314062,3.0,11642.645344926415,16436.902677447455,203.8655471113383,20.006727245628106,11577.408369850787,16438.621580337312
330.0,28.401367164879485,3.0,11725.802535810259,16554.504704604235,204.8133229006432,20.096282403489084,11658.214139253047,16556.301695751124
340.0,28.40193717977009,3.0,11808.964732068931,16672.113810429983,205.74774516600297,20.183166856561044,11739.01049871249,16673.996787767435
350.0,28.402669094229402,3.0,11892.133414248985,16789.732088733712,206.66959248273238,20.267536319906924,11819.799056880029,16791.70913136218
360.0,28.403592444595077,3.0,11975.310347289387,16907.36203551605,207.5795784140266,20.34953350616577,11900.581699060338,16909.441392758792
370.0,28.404738672276824,3.0,12058.497601325093,17025.00657838992,208.47835869497666,20.42928956235578,11981.36060860795,17027.19665968687
380.0,28.40614073283887,3.0,12141.697568818501,17142.669100808096,209.3665374485572,20.50692531307189,12062.138284588049,17144.97846635829
390.0,28.40783267035044,3.0,12224.91297759535,17260.353460498736,210.2446725834116,20.58255234004277,12142.917555287819,17262.790812575142
400.0,28.409849172027016,3.0,12308.146899513315,17378.06400172463,211.11328049707998,20.656273922776446,12223.701587314483,17380.63817659631
410.0,28.412225117322173,3.0,12391.402754637984,17495.805561188903,211.9728401872963,20.728185860819707,12304.493890161193,17498.525521594605
420.0,28.414995134237316,3.0,12474.684310935916,17613.58346760098,212.8237968569893,20.79837719475831,12385.298316255981,17616.458295726003
430.0,28.41819317387781,3.0,12557.995679613567,17731.403535084777,213.666565084792,20.866930840318847,12466.119056627105,17734.442425999503
440.0,28.421852112359907,3.0,12641.341306331831,17849.272050754233,214.50153162153669,20.93392414766779,12546.960632418355,17852.48430627797
450.0,28.426003387196708,3.0,12724.725958606872,17967.19575689536,215.32905786387934,20.999429396136318,12627.827882568126,17970.59077985371
460.0,28.430676673368488,3.0,12808.1547097697,18085.181828281682,216.1494820484603,21.06351423305251,12708.72594802741,18088.769117129334
470.0,28.435899602488426,3.0,12891.632919899776,18203.237845210264,216.9631212035656,21.126242064073566,12789.6602529341,18207.026988994225
480.0,28.44169752686144,3.0,12975.16621417386,18321.371762882376,217.77027288985715,21.187672401331877,12870.636483186729,18325.372436523197
490.0,28.448093328830936,3.0,13058.760459082088,18439.591877767933,218.5712167572059,21.247861174801624,12951.660562871059,18443.81383763868
500.0,28.455107274628276,3.0,13142.421736961121,18557.906791589925,219.36621594083306,21.30686101152706,13032.738628990706,18562.35987137442
510.0,28.462756910982776,3.0,13226.156319281363,18676.325373546857,220.1555183167221,21.364721486704866,13113.877004939835,18681.019480360206
520.0,28.471057002005026,3.0,13309.970639104016,18794.85672136113,220.93935763350754,21.421489350061954,13195.082173134591,18799.801832116867
530.0,28.48001950330696,3.0,13393.871263095818,18913.5101217019,221.71795453570132,21.477208730500717,13276.360747191897,18918.71627971115
540.0,28.489653569947066,3.0,13477.864863457084,19032.295010485348,222.49151749110933,21.531921321582313,13357.719444011884,19037.77232227432
550.0,28.499965594565936,3.0,13561.958190083262,19151.22093350516,223.26024363357635,21.585666550075715,13439.165056084794,19156.979565838195
560.0,28.510959271982387,3.0,13646.158043243217,19270.29750779379,224.02431953072607,21.638481729505667,13520.70442430601,19276.34768488981
570.0,28.522635686531206,3.0,13730.4712470203,19389.534384062466,224.7839218850977,21.690402200379985,13602.344411545793,19395.886384993362
580.0,28.534993418518944,3.0,13814.904623725306,19508.941210515644,225.53921817599445,21.741461458559336,13684.09187718323,19515.605366775788
590.0,28.5480286663347,3.0,13899.464969455123,19628.52759828571,226.2903672484233,21.791691273045114,13765.953652778553,19635.514291522217
600.0,28.561735380961917,3.0,13984.159030937033,19748.303088685887,227.0375198546977,21.84112179429999,13847.936519024215,19755.622748579877
610.0,28.57610540987937,3.0,14068.993483767557,19868.277122435316,227.7808191535779,21.88978165407603,13930.047184083875,19875.9402247248
620.0,28.59112864760302,3.0,14153.974912125652,19988.45901096917,228.5204011712232,21.93769805760509,14012.292263399495,19996.47607560472
630.0,28.606793190394008,3.0,14239.109790014089,20108.857909909973,229.2563952277081,21.98489686890207,14094.678261020632,20117.23949933474
640.0,28.62308549293425,3.0,14324.40446405951,20229.482794743202,229.9889243324054,22.031402689841528,14177.21155248677,20238.239512289263
650.0,28.639990525042315,3.0,14409.865137880894,20350.342438710948,230.71810555114706,22.077238933589864,14259.898369272649,20359.484927104375
660.0,28.65749192676394,3.0,14495.497858018382,20471.445392912283,231.44405034773717,22.122427892907886,14342.744784788874,20480.98433287973
670.0,28.67557216041987,3.0,14581.308501398835,20592.79996857688,232.16686490209503,22.166990803779456,14425.75670191443,20602.746077546843
680.0,28.694212658425734,3.0,14667.302764301634,20714.414221460294,232.88665040705254,22.210947904770958,14508.939842024838,20724.778252352568
690.0,28.71339396591292,3.0,14753.486152777448,20836.29593829406,233.60350334560664,22.254318492481776,14592.29973546898,20847.088678391305
700.0,28.733095877375032,3.0,14839.86397446385,20958.452625211215,234.31751575023327,22.297120973407104,14675.841713438687,20969.68489510684
710.0,28.75329756674096,3.0,14926.44133173499,21080.891498058485,235.0287754457013,22.33937291250071,14759.570901168541,21092.574150675435
720.0,28.773977710433336,3.0,15013.22311611726,21203.619474498828,235.73736627667552,22.38109107869555,14843.492212398054,21215.76339417414
730.0,28.795114603110314,3.0,15100.21400389908,21326.643167802755,236.44336832126845,22.422291487614135,14927.610345024554,21339.259269433078
740.0,28.816686265910725,3.0,15187.418452860831,21449.968882223733,237.14685809158806,22.46298944167806,15011.929777873056,21463.068110467328
750.0,28.838670547127947,3.0,15274.840700049292,21573.602609850786,237.84790872222675,22.503199567805794,15096.454768507621,21587.19593838173
760.0,28.861045215328065,3.0022943900737475,15362.48476052109,21697.550028831454,238.54659014755015,22.542935852870478,15181.189352008952,21711.648459642136
770.0,28.883788045003918,3.0068429560089185,15450.354426979831,21821.816502858605,239.2429692685658,22.58221167707361,15266.137340643036,21836.431065606805
780.0,28.90687689492006,3.011460725992147,15538.453270233113,21946.407081816775,239.93711011008344,22.62103984537714,15351.302324347247,21961.548833213867
790.0,28.930289779355196,3.0161433028791738,15626.78464039729,22071.326503485954,240.62907396881687,22.659432617123823,15436.687671961927,22087.006526723017
800.0,28.954004932490182,3.020886333506171,15715.351668780128,22196.579196204046,241.31891955302316,22.69740173396508,15522.296533137707,22212.8086004129
