Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,50.718221969800005,8.489066332978002,283.37987281799457,-48.18690823062093,theoretical,0.24
203.44766770921817,50.976211508388225,8.664370640232994,284.24891890176343,-49.16540895919748,theoretical,0.24
206.95476748160223,51.238648357983976,8.843609496118805,285.12241229653995,-50.16383304450514,theoretical,0.24
210.52232382717756,51.50560918284003,9.026882460099399,286.0004296665767,-51.182592608879574,theoretical,0.24
214.1513789168204,51.77717196877351,9.214291911404766,286.8830489976909,-52.22210861931249,theoretical,0.24
217.84299288670067,52.05341604594742,9.405943136012779,287.7703496200455,-53.282811089270155,theoretical,0.24
221.59824414797524,52.334422112045,9.601944416465043,288.66241223132374,-54.3651392855153,theoretical,0.24
225.4182297018173,52.620272255843474,9.802407124611664,289.5593189203029,-55.46954194006696,theoretical,0.24
229.30406545987765,52.9110499811942,10.007445817383699,290.4611531908343,-56.59647746743893,theoretical,0.24
233.25688657026996,53.20684023141618,10.217178335695051,291.367999986237,-57.746414187301056,theoretical,0.24
237.27784774917558,53.507729414110145,10.431725906579189,292.2799457141117,-58.919830552711105,theoretical,0.24
241.36812361816362,53.81380542640022,10.65121324866964,293.19707827158254,-60.117215384070086,theoretical,0.24
245.5289090473282,54.12515768061099,10.875768681137032,294.1194870709739,-61.33906810895894,theoretical,0.24
249.76141950433833,54.441877130386935,11.105524236199098,295.04726306593057,-62.58589900801765,theoretical,0.24
254.0668914095063,54.76405629726225,11.34061577532429,295.9804987779866,-63.858229467033944,theoretical,0.24
258.4465824969762,55.09178929768866,11.581183109253626,296.91928832359366,-65.15659223541348,theoretical,0.24
262.90177218213927,55.42517187052915,11.827370121969734,297.8637274416149,-66.48153169120854,theoretical,0.24
267.43376193538245,55.76430140502564,12.079324898746394,298.8139135212921,-67.83360411288679,theoretical,0.24
272.04387566227916,56.10927696924875,12.337199858416545,299.7699456306959,-69.21337795802867,theoretical,0.24
276.7334600903361,56.46019933903805,12.601151890001477,300.7319245456659,-70.62143414914652,theoretical,0.24
281.5038851624044,56.81717102744119,12.871342493848585,301.6999527792497,-72.05836636682416,theoretical,0.24
286.3565444368738,57.18029631466039,13.147937927430421,302.6741346116496,-73.52478135038274,theoretical,0.24
291.29285549476526,57.549681278515315,13.431109355962839,303.65457612068525,-75.02129920628414,theoretical,0.24
296.3142603538418,57.925433825431035,13.721033008005527,304.6413852127817,-76.5485537244897,theoretical,0.24
301.4222258898558,58.30766372196002,14.017890336213641,305.63467165449134,-78.10719270299835,theoretical,0.24
306.6182442650613,58.6964826268478,14.321868183415464,306.63454710455983,-79.69787828079691,theoretical,0.24
311.90383336411037,59.09200412365117,14.63315895419642,307.6411251465439,-81.32128727945863,theoretical,0.24
317.28053723746433,59.494343753918685,14.951960792176537,308.65452132199204,-82.97811155363749,theoretical,0.24
322.74992655244927,59.90361905094326,15.27847776317448,309.6748531641973,-84.66905835071071,theoretical,0.24
328.3135990520866,60.31994957409653,15.612920044458175,310.7022402325313,-86.39485067983021,theoretical,0.24
333.973180021832,60.743456943754964,15.955504120288666,311.7368041473705,-88.15622769065168,theoretical,0.24
339.73032276436277,61.174264876828325,16.306452983971297,312.77866862562456,-89.9539450620198,theoretical,0.24
345.58670908254754,61.61249922290035,16.665996346635215,313.82795951687723,-91.78877540089336,theoretical,0.24
351.5440497707418,62.05828800099248,17.03437085297017,314.8848048401501,-93.66150865180587,theoretical,0.24
357.6040851145536,62.511761436961415,17.411820304157363,315.9493348212997,-95.57295251716529,theoretical,0.24
363.7685853992233,62.97305200154125,17.79859588823905,317.02168193106024,-97.52393288870523,theoretical,0.24
370.039351426768,63.442294449041455,18.194956418180347,318.1019809237411,-99.51529429041094,theoretical,0.24
376.4182150420384,63.919625856711825,18.60116857788502,319.1903688765922,-101.54790033325162,theoretical,0.24
382.90703966784827,64.40518566478632,19.017507176436574,320.2869852298474,-103.62263418206413,theoretical,0.24
389.50772084932396,64.89911571721676,19.444255410844598,321.3919718274585,-105.74039903493892,theoretical,0.24
396.2221868076408,65.4015603031091,19.88170513758667,322.50547295853147,-107.90211861547513,theoretical,0.24
403.05239900330326,65.91266619887368,20.330157153245587,323.62763539947684,-110.10873767827991,theoretical,0.24
410.0003527091367,66.43258271110238,20.78992148455234,324.7586084568863,-112.36122252809946,theoretical,0.24
417.06807759315336,66.96146172018457,21.261317688155657,325.8985440111491,-114.66056155298199,theoretical,0.24
424.25763831147134,67.49945772467524,21.7446751604505,327.0475965608205,-117.00776577188608,theoretical,0.24
431.57113511144934,68.04672788642776,22.24033345780851,328.2059232677537,-119.4038693971572,theoretical,0.24
439.01070444522117,68.60343207650476,22.748642627566134,329.37368400301136,-121.84993041231354,theoretical,0.24
446.5785195938056,69.16973292188031,23.26996355013774,330.55104139356763,-124.34703116559245,theoretical,0.24
454.2767913019756,69.74579585294738,23.8046682926341,331.7381608698154,-126.89627897972424,theoretical,0.24
462.1077684240713,70.33178915184408,24.353140474379575,332.9352107138928,-129.49880677841534,theoretical,0.24
470.07373858094394,70.92788400161287,24.915775644734577,334.1423621088423,-132.1557737300365,theoretical,0.24
478.17702882822874,71.53425453620754,25.49298167364501,335.3597891886177,-134.86836590902936,theoretical,0.24
486.4200063361335,72.15107789136196,26.08517915535315,336.58766908895274,-137.6377969755596,theoretical,0.24
494.80507908094734,72.77853425633565,26.692801825721194,337.8261819991072,-140.46530887396153,theoretical,0.24
503.3346965484699,73.41680692655164,27.316296993633188,339.0755112145039,-143.3521725505364,theoretical,0.24
512.0113504495667,74.0660823571416,27.95612598695738,340.3358431902745,-146.29968869128706,theoretical,0.24
520.8375754480575,74.72655021741366,28.612764613567773,341.6073675957273,-149.30918848018413,theoretical,0.24
529.815949901156,75.39840344625992,29.28670363794104,342.8902773697542,-152.38203437858616,theoretical,0.24
