Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,32.32824340581243,-396.9236715338082,199.953968989944,-436.91446533179703,burcat,0.21
203.44766770921817,32.511877851034484,-396.81189761563513,200.50807177095209,-437.60479717430786,burcat,0.21
206.95476748160223,32.697530381571326,-396.6975493277558,201.06533037508342,-438.3089780241427,burcat,0.21
210.52232382717756,32.88520105371048,-396.58056392922157,201.62577929612485,-439.0272915301074,burcat,0.21
214.1513789168204,33.07488898419911,-396.4608771583644,202.18945302084592,-439.76002732521624,burcat,0.21
217.84299288670067,33.26659231506926,-396.33842320045574,202.7563860126408,-440.5074811563406,burcat,0.21
221.59824414797524,33.46030817789529,-396.2131346549841,203.32661269456466,-441.26995501665505,burcat,0.21
225.4182297018173,33.65603265751011,-396.08494250256365,203.900167431754,-442.04775728093375,burcat,0.21
229.30406545987765,33.85376075521038,-395.9537760714866,204.47708451322265,-442.8412028437515,burcat,0.21
233.25688657026996,34.05348635148431,-395.81956300393875,205.0573981330245,-443.65061326064836,burcat,0.21
237.27784774917558,34.255202168299995,-395.68222922189136,205.64114237077604,-444.4763168923109,burcat,0.21
241.36812361816362,34.45889973099596,-395.5416988926919,206.2283511715299,-445.3186490518318,burcat,0.21
245.5289090473282,34.664569329820814,-395.3978943943695,206.8190583249949,-446.1779521551012,burcat,0.21
249.76141950433833,34.872199981172955,-395.2507362806802,207.41329744409563,-447.0545758743931,burcat,0.21
254.0668914095063,35.081779388597106,-395.1001432459121,208.01110194286744,-447.94887729520235,burcat,0.21
258.4465824969762,35.29329390359949,-394.9460320894746,208.61250501368335,-448.8612210763944,burcat,0.21
262.90177218213927,35.50672848634963,-394.78831768029977,209.21753960380968,-449.79197961372824,burcat,0.21
267.43376193538245,35.72206666634292,-394.62691292107974,209.82623839129067,-450.74153320681296,burcat,0.21
272.04387566227916,35.939290503104594,-394.4617287123706,210.43863376015935,-451.7102702295593,burcat,0.21
276.7334600903361,36.15838054702328,-394.2926739165934,211.05475777497932,-452.69858730419116,burcat,0.21
281.5038851624044,36.37931580040919,-394.11965532196126,211.67464215471807,-453.70688947887606,burcat,0.21
286.3565444368738,36.60207367888073,-393.9425776063685,212.2983182459575,-454.7355904090406,burcat,0.21
291.29285549476526,36.82662997319138,-393.7613433012747,212.9258169954481,-455.78511254243455,burcat,0.21
296.3142603538418,37.05295881161788,-393.57585275561917,213.55716892201553,-456.85588730800663,burcat,0.21
301.4222258898558,37.281032623040396,-393.3860040998055,214.19240408782971,-457.9483553086586,burcat,0.21
306.6182442650613,37.51082210085572,-393.19169320979074,214.83155206905016,-459.062966517941,burcat,0.21
311.90383336411037,37.742296167875,-392.9928136713234,215.47464192586247,-460.20018048075895,burcat,0.21
317.28053723746433,37.97542194236932,-392.78925674436755,216.12170217192454,-461.36046651815104,burcat,0.21
322.74992655244927,38.2101647054387,-392.5809113277575,216.7727607432436,-462.54430393621107,burcat,0.21
328.3135990520866,38.44648786989259,-392.3676639241237,217.42784496650802,-463.75218223921706,burcat,0.21
333.973180021832,38.68435295084416,-392.1493986051355,218.0869815269015,-464.9846013470373,burcat,0.21
339.73032276436277,38.923719538234685,-391.9259969771026,218.75019643543123,-466.2420718168794,burcat,0.21
345.58670908254754,39.16454527152002,-391.69733814698134,219.41751499580425,-467.5251150694519,burcat,0.21
351.5440497707418,39.40678581676719,-391.46329868882964,220.08896177089136,-468.83426361960676,burcat,0.21
357.6040851145536,39.650394846426565,-391.2237526107536,220.7645605488225,-470.17006131153175,burcat,0.21
363.7685853992233,39.89532402206271,-390.9785713223917,221.44433430876052,-471.5330635585622,burcat,0.21
370.039351426768,40.141522980346934,-390.72762360297713,222.1283051864082,-472.9238375876828,burcat,0.21
376.4182150420384,40.38893932263429,-390.47077557002115,222.81649443930485,-474.3429626887886,burcat,0.21
382.90703966784827,40.63751860846946,-390.20789064865664,223.50892241197914,-475.79103046877833,burcat,0.21
389.50772084932396,40.8872043533886,-389.93882954167924,224.20560850102595,-477.26864511054964,burcat,0.21
396.2221868076408,41.13793803140794,-389.6634502003206,224.90657112018576,-478.7764236369688,burcat,0.21
403.05239900330326,41.389659082615594,-389.38160779578527,225.61182766550954,-480.3149961798887,burcat,0.21
410.0003527091367,41.642304926309166,-389.09315469157815,226.32139448069987,-481.8850062542888,burcat,0.21
417.06807759315336,41.895810980150024,-388.79794041664337,227.03528682272744,-483.4871110376085,burcat,0.21
424.25763831147134,42.150110685835095,-388.4958116393328,227.7535188278301,-485.12198165435524,burcat,0.21
431.57113511144934,42.40513554181743,-388.18661214221135,228.47610347801006,-486.79030346605714,burcat,0.21
439.01070444522117,42.66081514364061,-387.8701827977017,229.203052568154,-488.49277636664203,burcat,0.21
446.5785195938056,42.91707723248598,-387.54636154456216,229.93437667391277,-490.2301150833226,burcat,0.21
454.2767913019756,43.17384775256883,-387.2149833651765,230.67008512048497,-492.00304948306405,burcat,0.21
