Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,33.35015118489327,-245.1055465048146,175.48416177601447,-280.2023788600175,burcat,0.16
203.44766770921817,33.34964722307539,-244.99056734047196,176.05415870478498,-280.808375319469,burcat,0.16
206.95476748160223,33.349866819009875,-244.87360662979106,176.62415316257088,-281.42681717918583,burcat,0.16
210.52232382717756,33.35083900258745,-244.75462758981797,177.19415776315213,-282.0579534507163,burcat,0.16
214.1513789168204,33.35259346959845,-244.63359260632927,177.76418562216205,-282.70203807934087,burcat,0.16
217.84299288670067,33.35516058150475,-244.5104632091885,178.33425036846708,-283.35933004366154,burcat,0.16
221.59824414797524,33.35857136417351,-244.3852000468672,178.9043661555357,-284.03009345734034,burcat,0.16
225.4182297018173,33.36285750550707,-244.25776286010696,179.47454767277497,-284.7145976730383,burcat,0.16
229.30406545987765,33.36805135190045,-244.12811045469738,180.04481015681702,-285.4131173886074,burcat,0.16
233.25688657026996,33.37418590345644,-243.99620067334578,180.6151694027348,-286.1259327555896,burcat,0.16
237.27784774917558,33.381294807886455,-243.861990366617,181.18564177516464,-286.8533294900812,burcat,0.16
241.36812361816362,33.38941235302328,-243.72543536291417,181.75624421931275,-287.5955989860144,burcat,0.16
245.5289090473282,33.398573457870825,-243.5864904374814,182.3269942718216,-288.3530384309202,burcat,0.16
249.76141950433833,33.408813662113936,-243.44510928040114,182.89791007147014,-289.12595092422833,burcat,0.16
254.0668914095063,33.42016911401095,-243.30124446356407,183.469010369681,-289.9146455981674,burcat,0.16
258.4465824969762,33.43267655659001,-243.15484740658744,184.04031454080626,-290.7194377413274,burcat,0.16
262.90177218213927,33.44637331207005,-243.0058683416593,184.61184259216273,-291.54064892494904,burcat,0.16
267.43376193538245,33.46129726442671,-242.85425627728625,185.1836151737844,-292.3786071320056,burcat,0.16
272.04387566227916,33.477486840023836,-242.6999589609227,185.7556535878614,-293.23364688914427,burcat,0.16
276.7334600903361,33.49498098623118,-242.54292284046016,186.32797979782998,-294.1061094015559,burcat,0.16
