Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,41.40602383764001,7.0201779371313355,248.13494543343626,-42.606811149555924,theoretical,0.21
203.44766770921817,41.601146925062544,7.163268394690727,248.8442963312123,-43.46352331663597,theoretical,0.21
206.95476748160223,41.800039207494805,7.309516415589631,249.55701426349563,-44.337497444715,theoretical,0.21
210.52232382717756,42.00277976376647,7.459001929046689,250.27316432445218,-45.22908621611805,theoretical,0.21
214.1513789168204,42.20944952635097,7.611807206241721,250.99281297559094,-46.13864979069269,theoretical,0.21
217.84299288670067,42.42013133037428,7.768016938287839,251.71602807786255,-47.06655597574652,theoretical,0.21
221.59824414797524,42.6349099640616,7.927718317069671,252.44287892460738,-48.013180400283225,theoretical,0.21
225.4182297018173,42.853872220667306,8.09100111906109,253.17343627537838,-48.978906693660555,theoretical,0.21
229.30406545987765,43.077106951935214,8.257957792240997,253.90777239066458,-49.964126668799665,theoretical,0.21
233.25688657026996,43.3047051231374,8.428683546230475,254.64596106754163,-50.96924051007846,theoretical,0.21
237.27784774917558,43.53675986974193,8.603276445779967,255.38807767627728,-51.994656966046385,theoretical,0.21
241.36812361816362,43.77336655576082,8.781837507740423,256.13419919791875,-53.04079354710217,theoretical,0.21
245.5289090473282,44.01462283383221,8.964470801658349,256.8844042628933,-54.108076728282676,theoretical,0.21
249.76141950433833,44.26062870709135,9.15128355414024,257.63877319065017,-55.19694215731281,theoretical,0.21
254.0668914095063,44.51148659288787,9.342386257138484,258.39738803037557,-56.307834868075005,theoretical,0.21
258.4465824969762,44.767301388408214,9.537892780317007,259.1603326028132,-57.441209499659735,theoretical,0.21
262.90177218213927,45.02818053826389,9.73792048766192,259.9276925432232,-58.59753052116568,theoretical,0.21
267.43376193538245,45.29423410410871,9.942590358509403,260.6995553455131,-59.7772724624226,theoretical,0.21
272.04387566227916,45.565574836349896,10.152027113170435,261.4760104075767,-60.980920150817184,theoretical,0.21
276.7334600903361,45.84231824802032,10.366359343340017,262.25714907787705,-62.208968954408,theoretical,0.21
281.5038851624044,46.12458269088119,10.585719647486039,263.0430647033105,-63.461925031521595,theoretical,0.21
286.3565444368738,46.41248943382703,10.810244771422033,263.83385267839185,-64.74030558702948,theoretical,0.21
291.29285549476526,46.706162743666894,11.04007575427652,264.62961049579866,-66.04463913551217,theoretical,0.21
296.3142603538418,47.00572996835868,11.27535808008097,265.4304377983185,-67.37546577152418,theoretical,0.21
301.4222258898558,47.31132162277545,11.516241835208042,266.2364364322386,-68.73333744718042,theoretical,0.21
306.6182442650613,47.62307147708579,11.762881871902133,267.047710502225,-70.11881825729448,theoretical,0.21
311.90383336411037,47.94111664783243,12.015437978154226,267.86436642773475,-71.53248473230495,theoretical,0.21
317.28053723746433,48.265597691796984,12.274075054184786,268.68651300100817,-72.97492613923602,theoretical,0.21
322.74992655244927,48.59665870274056,12.538963295809555,269.51426144669017,-74.4467447909473,theoretical,0.21
328.3135990520866,48.93444741111406,12.810278384975208,270.34772548313003,-75.94855636393672,theoretical,0.21
333.973180021832,49.279115286834156,13.088201687764645,271.18702138541147,-77.48099022496979,theoretical,0.21
339.73032276436277,49.6308176452252,13.37292046018493,272.0322680501668,-79.04468976681989,theoretical,0.21
345.58670908254754,49.989713756229534,13.664628062064352,272.88358706222834,-80.64031275341198,theoretical,0.21
351.5440497707418,50.35596695699311,13.963524179400004,273.7411027631762,-82.26853167467576,theoretical,0.21
357.6040851145536,50.72974476793627,14.269815055512192,274.6049423218393,-83.9300341114239,theoretical,0.21
363.7685853992233,51.11121901242365,14.583713731377793,275.47523580681167,-85.62552311058354,theoretical,0.21
370.039351426768,51.50056594015074,14.905440295531356,276.352116261044,-87.35571757112015,theoretical,0.21
376.4182150420384,51.89796635436849,15.235222143939927,277.23571977857836,-89.12135264100729,theoretical,0.21
382.90703966784827,52.30360574307216,15.573294250276156,278.12618558349027,-90.9231801256087,theoretical,0.21
389.50772084932396,52.71767441428363,15.919899447032417,279.02365611110815,-92.76196890785086,theoretical,0.21
396.2221868076408,53.14036763556205,16.275288717939507,279.9282770915802,-94.63850538058162,theoretical,0.21
403.05239900330326,53.571885777881285,16.63972150217361,280.84019763586326,-96.5535938915229,theoretical,0.21
410.0003527091367,54.01243446401783,17.013466010857368,281.7595703242098,-98.50805720124345,theoretical,0.21
417.06807759315336,54.46222472159739,17.396799556383325,282.68655129722896,-100.50273695459029,theoretical,0.21
424.25763831147134,54.921473140953815,17.790008895112663,283.62130034960603,-102.53849416603967,theoretical,0.21
431.57113511144934,55.39040203795852,18.193390584025973,284.56398102656124,-104.61620971943998,theoretical,0.21
439.01070444522117,55.86923962198453,18.60725135193016,285.5147607231352,-106.73678488264221,theoretical,0.21
446.5785195938056,56.358220169174636,19.031908485852185,286.4738107863908,-108.90114183753019,theoretical,0.21
454.2767913019756,56.857584201188686,19.467690233279495,287.44130662062213,-111.11022422598403,theoretical,0.21
462.1077684240713,57.36757866961135,19.914936220936838,288.4174277956677,-113.36499771232987,theoretical,0.21
470.07373858094394,57.888457146207294,20.37399789082058,289.4023581584239,-115.6664505628511,theoretical,0.21
478.17702882822874,58.420480019217905,20.8452389542452,290.3962859476628,-118.01559424296092,theoretical,0.21
486.4200063361335,58.96391469589907,21.32903586469017,291.39940391225684,-120.41346403265531,theoretical,0.21
494.80507908094734,59.51903581150749,21.825778310272604,292.411909432921,-122.8611196608947,theoretical,0.21
503.3346965484699,60.086125444949225,22.335869726708413,293.4340046475825,-125.35964595958484,theoretical,0.21
512.0113504495667,60.66547334131195,22.85972783166462,294.46589658049584,-127.9101535378575,theoretical,0.21
520.8375754480575,61.25737714150932,23.39778518144691,295.5077972752205,-130.513779477375,theoretical,0.21
529.815949901156,61.86214261927449,23.95048975101071,296.5599239315872,-133.17168804941775,theoretical,0.21
538.9490966126708,62.48008392574693,24.518305538328693,297.6224990467782,-135.88507145453792,theoretical,0.21
548.2396835991898,63.11152384190544,25.101713194196577,298.69575056065554,-138.65515058559976,theoretical,0.21
557.6904248694742,63.75679403910925,25.70121067860874,299.77991200547194,-141.4831758150565,theoretical,0.21
567.304081217288,64.41623534801717,26.31731394488775,300.8752226601065,-144.37042780735086,theoretical,0.21
577.0834610278905,65.09019803616442,26.950557652807092,301.9819277089696,-147.31821835735929,theoretical,0.21
587.031421098439,65.77904209448671,27.60149591200454,303.1002784057285,-150.32789125584276,theoretical,0.21
597.1508674725266,66.48313753308987,28.27070305704338,304.23053224200874,-153.40082318290058,theoretical,0.21
607.4447562891097,67.20286468657449,28.958774455542834,305.372953121231,-156.53842463046905,theoretical,0.21
617.9160946460689,67.93861452923548,29.666327350865533,306.5278115377516,-159.74214085494813,theoretical,0.21
628.567941478656,68.69078900046662,30.394001740919318,307.69538476147574,-163.01345286108452,theoretical,0.21
639.403408453085,69.45980134071246,31.142461294704137,308.8759570281231,-166.3538784182864,theoretical,0.21
650.4256608755236,70.24607643832047,31.91239430831129,310.06981973532663,-169.76497311059302,theoretical,0.21
661.6379186167607,71.05005118766003,32.704514702163046,311.2772716447571,-173.24833142157806,theoretical,0.21
673.0434570528072,71.87217485888506,33.51956306136445,312.49861909046564,-176.8055878555109,theoretical,0.21
684.6456080217147,72.71290947973222,34.358307721128135,313.73417619364926,-180.4384180961646,theoretical,0.21
696.4477607968871,73.57273022975862,35.221545899325314,314.9842650840478,-184.1485402047129,theoretical,0.21
708.4533630771713,74.4521258474373,36.11010487831376,316.24921612818713,-187.9377158582196,theoretical,0.21
720.6659219940121,75.35159905054262,37.02484323829507,317.52936816469435,-191.8077516302905,theoretical,0.21
733.0890051359754,76.27166697027347,37.966652144561536,318.8250687469143,-195.76050031552285,theoretical,0.21
745.7262415909262,77.21286159957587,38.93645669110362,320.136674393066,-199.79786229945563,theoretical,0.21
758.5813230061743,78.17573025614416,39.935217303168464,321.46455084418744,-203.92178697580087,theoretical,0.21
771.6580046668961,79.16083606059485,40.96393120148225,322.8090733301214,-208.134274212809,theoretical,0.21
784.9601065931449,80.16875843032517,42.02363393097929,324.17062684380846,-212.43737587070322,theoretical,0.21
798.4915146557738,81.20009358958535,43.11540095701655,325.5496064241575,-216.8331973722,theoretical,0.21
812.2561817115907,82.25545509631158,44.24034933219465,326.94641744777704,-221.3238993282205,theoretical,0.21
826.25812875809,83.33547438628652,45.39963943705739,328.36147592985844,-225.9116992209921,theoretical,0.21
840.5014461080814,84.44080133521159,46.59447679809633,329.79520883451147,-230.59887314682723,theoretical,0.21
854.9902945845712,85.57210483929751,47.82611398665436,331.24805439486335,-235.3877576209759,theoretical,0.21
869.7289067362418,86.73007341499884,49.09585260249373,332.72046244324474,-240.28075144704633,theoretical,0.21
884.7215880738834,87.91541581854027,50.4050453459755,334.2128947517936,-245.28031765360095,theoretical,0.21
899.972718328136,89.1288616859044,51.755098182987936,335.7258253838214,-250.38898550064692,theoretical,0.21
915.4867527289218,90.37116219397464,53.14747260696213,337.2597410562977,-255.60935255886488,theoretical,0.21
931.2682233069243,91.64309074354888,54.58368800252088,338.8151415138204,-260.9440868645387,theoretical,0.21
947.3217402175053,92.94544366496571,56.06532411552884,340.39253991445213,-266.3959291532866,theoretical,0.21
963.6519930874465,94.27904094710992,57.59402363454249,341.992463227815,-271.9676951758267,theoretical,0.21
980.2637523849029,95.64472699059019,59.171494888900426,343.61545264585095,-277.66227809915836,theoretical,0.21
997.1618708129761,97.04337138590935,60.799514668950245,345.26206400666683,-283.48265099668714,theoretical,0.21
1014.3512847273032,81.4633977347313,56.1412640485411,344.0454641048482,-292.84169447081285,theoretical,0.21
1031.8370155780945,82.45872709307176,57.57440571758696,345.44626555309753,-298.8698379733191,theoretical,0.21
1049.6241713770175,83.4764308057069,59.0501551722739,346.8642690260063,-305.0269657844429,theoretical,0.21
1067.7179481893745,84.51707596809175,60.56996547239014,348.29986175727976,-311.31604827773543,theoretical,0.21
1086.123631652,85.58124575939564,62.13534476551198,349.7534408098542,-317.7401325496697,theoretical,0.21
1104.846598517328,86.66953993911002,63.747858547003155,351.2254133550126,-324.30234471112504,theoretical,0.21
1123.8923182240662,87.78257535984389,65.4091320185228,352.7161969601241,-331.00589225816736,theoretical,0.21
1143.2663544949635,88.92098649685273,67.1208525495485,354.226219885292,-337.85406652524057,theoretical,0.21
1162.9743669621025,90.08542599486236,68.88477224663036,355.7559213891978,-344.85024522399146,theoretical,0.21
1183.0221128202206,91.27656523277076,70.7027106353212,357.3057520444436,-351.9978950711143,theoretical,0.21
1203.415448508527,92.49509490682983,72.57655745996033,358.8761740627029,-359.30057450873153,theoretical,0.21
1224.160331421514,93.74172563292947,74.5082756067365,360.4676616300018,-366.7619365209847,theoretical,0.21
1245.2628216492526,95.01718856862777,76.49990415571403,362.0807012524612,-374.3857315506659,theoretical,0.21
1266.7290837477024,96.32223605559466,78.55356156777964,363.7157921128439,-382.17581051989293,theoretical,0.21
1288.5653885395245,97.65764228315588,80.67144901274922,365.3734464382626,-390.13612795899576,theoretical,0.21
1310.7781149459438,99.02420397365094,82.8558538451766,367.0541898794117,-398.2707452479692,theoretical,0.21
1333.3737518501885,100.42274109034184,85.10915323471835,368.7585619017073,-406.5838339750411,theoretical,0.21
1356.358899993053,101.85409756863429,87.4338179582381,370.4871161887224,-415.0796794170958,theoretical,0.21
1379.740273901138,103.3191420713996,89.83241636118004,372.2404210583257,-423.7626841469092,theoretical,0.21
1403.5247038483215,104.81876876921235,92.3076184961029,374.0190598919407,-432.63737177236067,theoretical,0.21
1427.7191378510606,106.35389814634821,94.86220044664952,375.82363157736086,-441.7083908130348,theoretical,0.21
1452.3306436980697,107.92547783341168,97.49904884562055,377.6547509655645,-450.98051871983193,theoretical,0.21
1477.366411014999,109.53448346749805,100.22116559624698,379.5130493419961,-460.45866604349607,theoretical,0.21
1502.8337533646984,111.18191958082107,103.03167280619121,381.39917491279044,-470.14788075819683,theoretical,0.21
1528.7401103836928,112.8688205187721,105.93381794427083,383.31379330643483,-480.05335274660035,theoretical,0.21
1555.0930499554747,114.59625138840785,108.93097923038178,385.25758809137983,-490.180418453132,theoretical,0.21
1581.90027042128,116.36530903840114,112.02667126961136,387.23126131013106,-500.5345657124584,theoretical,0.21
1609.1696028289543,118.17712307151943,115.22455094205772,389.2355340303632,-511.12143876049777,theoretical,0.21
1636.9090132205981,120.03285689073851,118.52842356044133,391.2711469136263,-521.9468434356344,theoretical,0.21
1665.126604959642,121.93370878013218,121.94224930817813,393.338860802227,-533.0167525781272,theoretical,0.21
1693.8306210980388,123.88091302171982,125.4701499712027,395.4394573248883,-544.3373116360842,theoretical,0.21
1723.0294467842637,125.87574104949515,129.11641597748053,397.57373952181587,-555.9148444867448,theoretical,0.21
1752.7316117128141,127.91950264189853,132.88551375882633,399.7425324898122,-567.7558594822042,theoretical,0.21
1782.9457926159548,130.01354715404347,136.78209345036683,401.9466840481126,-579.8670557291501,theoretical,0.21
1813.6808157983965,132.15926479104732,140.8109969437292,404.18706542562904,-592.2553296125855,theoretical,0.21
1844.945659715679,134.35808792386715,144.97726631083313,406.4645719703194,-604.927781573999,theoretical,0.21
1876.7494575969986,136.61149244908796,149.28615261598773,408.7801238814185,-617.8917231548984,theoretical,0.21
1909.1015001132496,138.92099919416037,153.74312513486706,411.1346669652979,-631.1546843171445,theoretical,0.21
1942.0112380910514,141.28817536963595,158.3538809998484,413.52917341574033,-644.7244210520225,theoretical,0.21
1975.4882852735775,143.7146360700045,163.12435529216236,415.96464261945044,-658.6089232905722,theoretical,0.21
2009.5424211289596,146.20204582478766,168.06073160230432,418.4421019876425,-672.8164231282337,theoretical,0.21
2044.1835937071114,148.7521202016052,173.16945308121973,420.96260781458017,-687.355403377506,theoretical,0.21
2079.4219225457987,151.36662746298657,178.45723400588668,423.52724616397256,-702.2346064629289,theoretical,0.21
2115.267701626806,154.04739027876278,183.9310718840848,426.13713378415935,-717.4630436733686,theoretical,0.21
2151.7314023830622,156.79628749593562,189.59826012436716,428.7934190530517,-733.0500047872838,theoretical,0.21
2188.823676757596,159.61525596798663,195.46640129853745,431.49728295382755,-749.005068087372,theoretical,0.21
2226.555360315242,162.5062924456599,201.5434210252951,434.24994008241595,-765.3381107817809,theoretical,0.21
2264.937475407969,165.47145553131423,207.83758250511931,437.05263968783646,-782.0593198498377,theoretical,0.21
2303.9812343947797,168.51286769902202,214.35750173796862,439.9066667465009,-799.1792033311274,theoretical,0.21
2343.6980429171167,171.63271738266073,221.1121634569346,442.8133430716183,-816.7086020776029,theoretical,0.21
2384.0995032307346,174.83326113432366,228.11093781263773,445.7740284588878,-834.65870198936,theoretical,0.21
2425.1974175949927,178.11682585545392,235.3635978448821,448.79012186969703,-853.0410467556493,theoretical,0.21
2467.0037917205996,181.48581110319347,242.8803377799132,451.86306265309594,-871.8675511237575,theoretical,0.21
2509.530838276769,184.94269147451857,250.67179219351965,454.99433180784854,-891.1505147194089,theoretical,0.21
2552.7909804588385,188.4900190708261,258.7490560822412,458.18545328591716,-910.9026364434926,theoretical,0.21
2596.7968556173946,192.1304260457278,267.12370588704863,461.43799533877717,-931.1370294710819,theoretical,0.21
2641.5613189499536,195.86662723889972,275.80782151607787,464.75357190800884,-951.8672368799439,theoretical,0.21
2687.0974472562707,199.7014228989375,284.81400941533064,468.1338440616605,-973.1072479370225,theoretical,0.21
2733.4185427584102,203.63770149826905,294.15542673870766,471.5805214779334,-994.8715150727561,theoretical,0.21
2780.5381369866413,207.67844264327732,303.84580667129774,475.0953639777855,-1017.1749715744842,theoretical,0.21
2828.4699947323334,211.82672008290066,313.8994849625683,478.6801831081094,-1040.0330500316982,theoretical,0.21
2877.228118068989,216.08570481908734,324.33142772892563,482.3368437771998,-1063.461701567483,theoretical,0.21
2926.8267504425935,220.45866832259821,335.1572605881136,486.0672659442751,-1087.4774158920852,theoretical,0.21
2977.28038083248,224.94898585777327,346.39329919104455,489.87342636489007,-1112.0972422163272,theoretical,0.21
3028.603747983904,229.56013991999936,358.05658121995793,493.75736039412965,-1137.3388110643425,theoretical,0.21
3080.81184471361,234.295723789753,370.16489992527676,497.7211638495466,-1163.2203570270499,theoretical,0.21
3133.919922289589,239.1594452072144,382.73683927715234,501.7669949358653,-1189.7607424997352,theoretical,0.21
3187.943494886355,244.15513017159876,395.79181081153837,505.8970762335508,-1216.9794824492365,theoretical,0.21
3242.8983441170135,249.28672686948644,409.3500922546463,510.1136967534109,-1244.8967702583982,theoretical,0.21
3298.800523643463,254.55830973658465,423.43286801386665,514.4192140594714,-1273.5335046977764,theoretical,0.21
3355.66636386605,259.97408365750465,438.06227162768107,518.8160564624454,-1302.9113180769764,theoretical,0.21
3413.512476694102,265.5383883083022,453.26143027177983,523.3067252861989,-1333.0526056305932,theoretical,0.21
3472.355760398659,271.25570264668346,469.0545114234805,527.8937972096876,-1363.9805561962996,theoretical,0.21
3532.2134045488797,277.1306495549572,485.4667717917394,532.5799266869386,-1395.719184245525,theoretical,0.21
3593.1028950335326,283.16800064098663,502.5246086254507,537.3678484477277,-1428.2933633300204,theoretical,0.21
3655.042019169059,289.37268120257323,520.2556135184487,542.2603800817022,-1461.7288610107576,theoretical,0.21
