Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,40.408288323479994,7.297326691064667,240.3137544953418,-40.7654242080037,theoretical,0.18
203.44766770921817,40.54054495973687,7.436868803216042,241.0055163804227,-41.59514140943673,theoretical,0.18
206.95476748160223,40.675892675005635,7.5792856390831185,241.6995650235109,-42.44159164076198,theoretical,0.18
210.52232382717756,40.81441296269289,7.724646015889534,242.39595394868496,-43.30511349569314,theoretical,0.18
214.1513789168204,40.95618970192843,7.87302076185573,243.09473809314613,-44.18605260821482,theoretical,0.18
217.84299288670067,41.10130923280115,8.024482787692612,243.79597384863263,-45.08476180922133,theoretical,0.18
221.59824414797524,41.249860434078194,8.179107161037079,244.49971910414183,-46.00160128711391,theoretical,0.18
225.4182297018173,41.40193480349114,8.336971183962017,245.20603329000252,-46.93693875247523,theoretical,0.18
229.30406545987765,41.55762654067621,8.49815447369987,245.91497742334127,-47.89114960694631,theoretical,0.18
233.25688657026996,41.71703263285861,8.662739046725477,246.62661415499065,-48.864617116434914,theoretical,0.18
237.27784774917558,41.88025294337371,8.830809406350763,247.341007817885,-49.85773258878899,theoretical,0.18
241.36812361816362,42.04739030312144,9.002452633991233,248.058224476995,-50.87089555607428,theoretical,0.18
245.5289090473282,42.218550605053444,9.177758484271992,248.77833198085057,-51.90451396160029,theoretical,0.18
249.76141950433833,42.39384290179574,9.356819484148817,249.50140001470552,-52.95900435184378,theoretical,0.18
254.0668914095063,42.57337950651348,9.539731036228481,250.2275001553981,-54.03479207342527,theoretical,0.18
258.4465824969762,42.757276097127765,9.726591526481343,250.9567059279641,-55.13231147529963,theoretical,0.18
262.90177218213927,42.94565182399863,9.917502436548455,251.68909286406074,-56.252006116328126,theoretical,0.18
267.43376193538245,43.13862942119179,10.112568460855254,252.4247385622612,-57.39432897840567,theoretical,0.18
272.04387566227916,43.33633532145104,10.31189762875419,253.16372275028243,-58.559742685323364,theoretical,0.18
276.7334600903361,43.53889977500257,10.515601431929456,253.90612734921092,-59.7487197275552,theoretical,0.18
281.5038851624044,43.746456972321205,10.723794957308066,254.65203653979185,-60.9617426931619,theoretical,0.18
286.3565444368738,43.95914517099367,10.936597025733688,255.40153683085242,-62.19930450501616,theoretical,0.18
291.29285549476526,44.17710682681846,11.154130336671898,256.15471712992843,-63.46190866455882,theoretical,0.18
296.3142603538418,44.40048872928633,11.376521619228741,256.9116688161695,-64.75006950230569,theoretical,0.18
301.4222258898558,44.629442141590886,11.603901789778005,257.6724858155977,-66.06431243533174,theoretical,0.18
306.6182442650613,44.86412294532374,11.836406116507442,258.4372646787999,-67.40517423197113,theoretical,0.18
311.90383336411037,45.104691790013675,12.074174391208818,259.2061046611332,-68.77320328397744,theoretical,0.18
317.28053723746433,45.35131424767526,12.317351108652893,259.9791078055297,-70.16895988640223,theoretical,0.18
322.74992655244927,45.60416097253785,12.566085653907217,260.75637902798627,-71.59301652545797,theoretical,0.18
328.3135990520866,45.86340786613158,12.820532497971854,261.5380262058298,-73.04595817464306,theoretical,0.18
333.973180021832,46.12923624791334,13.08085140212673,262.32416026885153,-74.52838259941832,theoretical,0.18
339.73032276436277,46.40183303162207,13.347207631403931,263.11489529340594,-76.04090067073638,theoretical,0.18
