Temperature,Cp,Cp_uncertainty,H,H_uncertainty,S,S_uncertainty,G,G_uncertainty
100.0,30.397170613578027,3.0,11862.491597217171,16733.670093450208,175.62623028888592,32.04802988691315,11844.928974188282,16736.8748964389
110.0,30.67220830857675,3.0,11765.332265225426,16596.266048436373,178.18040135014144,29.85010009383783,11745.732421076911,16599.549559446696
120.0,30.38708845188902,3.0,12856.862307432577,18139.922637863405,179.46684621460886,29.44500588163585,12835.326285886824,18143.4560385692
130.0,30.85844120494744,3.023059954621748,14449.684928856965,20392.513991536438,181.8033987009488,27.554835228630427,14426.050487025841,20396.09612011616
140.0,31.265215837952574,3.104414881222774,12527.983003985195,17674.8170665443,184.0709487359277,25.762248778176822,12502.213071162165,17678.423781373243
150.0,30.680875802281456,3.0,17200.157341017042,24282.26937974626,185.03746626546248,25.809600142010446,17172.40172107722,24286.140819767563
160.0,30.827635091839326,3.0168987320001253,13375.10720240432,18872.831596963064,186.40084951479352,25.29569862246729,13345.283066481952,18876.878908742656
170.0,30.639679112997307,3.0,16128.099100476164,22766.15007631951,187.87686476469543,24.6225114001596,16096.160033466165,22770.33590325754
180.0,31.586899060845695,3.1687515258013983,13443.809272962519,18969.99099690958,189.5649670372357,23.64938783403339,13409.687578895817,18974.247886719706
190.0,31.573456835051395,3.1660630806425383,16951.360534469994,23930.41756165231,190.6927466070416,23.468680233419693,16915.128912614655,23934.876610896656
200.0,32.274451701657846,3.3062620539638283,15320.10601359002,21623.475294541426,192.55385350044753,22.250891186112042,15281.59524288993,21627.925472778647
210.0,32.28336675513822,3.3080450646599036,12775.160552902764,18024.378908537663,193.87776176286621,21.792815728434878,12734.446222932562,18028.955399840634
220.0,31.925654597483522,3.2365026331289637,17320.112526021418,24451.91162925642,195.02669517867787,21.582192071903464,17277.20665308211,24456.659711512242
230.0,31.77522911174522,3.206417535981304,12285.302875323148,17331.615537271984,196.44837099474609,20.985852413895028,12240.119749994357,17336.442283327182
240.0,33.54171844018573,3.5597154016694064,12395.944358061413,17488.086222721508,198.59792874166806,19.36013225746692,12348.280855163413,17492.7326544633
250.0,31.51145648322585,3.153663010277429,17981.485906792273,25387.23483413511,198.40979258405733,21.040410525505887,17931.883458646258,25392.49493676649
260.0,32.059693915820844,3.2633104967964286,16444.046119519822,23212.966635642406,200.0672091557503,20.110683093688856,16392.02864513933,23218.195413246765
270.0,33.29778377282957,3.5109284681981734,12697.799388441057,17914.973700554943,201.96894051836648,18.86502714911416,12643.267774501097,17920.059269995127
280.0,32.93718198564068,3.4388081107603945,13255.211966667925,18703.27412852073,203.16087812388452,19.00341467021777,13198.326920793237,18708.47204897047
290.0,32.50811261305778,3.3529942362438163,13037.45975816729,18395.32600202244,203.38198953700302,19.66551640935229,12978.478981201559,18401.029001781153
300.0,33.930693885974115,3.6375104908270823,16796.310796436195,23711.144119282515,205.19342511913476,19.209924069267814,16734.752768900456,23716.69951124375
310.0,32.26147933534988,3.3036675807022364,18984.795357119998,26806.128666045675,206.1342906060881,19.29809716665848,18920.89372703211,26811.89516267636
320.0,32.82007166041321,3.415386045714902,14425.354305880388,20358.105294541976,207.3310404393539,19.437447133311647,14359.008372939794,20363.968768382572
330.0,34.72446812247645,4.5794855104702386,12641.260115158246,17835.015093471673,209.27260843941988,19.725760733324844,12572.200154373237,17840.622380052042
340.0,33.95087202999325,3.6415461196309096,15108.872387699195,21324.745835977377,209.3336530471409,19.637969654869043,15037.698945663167,21330.974520705986
350.0,34.43455578977067,4.169487557658506,13353.1227882621,18841.74094032231,210.64033842762973,19.799306730966812,13279.398669812432,18848.00102014202
360.0,33.94657703040187,3.640687119712634,15036.217004107275,21221.995607122262,211.8682058048438,19.944880206409625,14959.944450017532,21228.318535236696
370.0,34.32106409596114,4.00898606505637,17547.177305007073,24773.029719235186,212.53110112002503,19.97745926944587,17468.540797592665,24779.70467730805
380.0,34.28203315878056,3.953787984343461,18437.6704797021,26032.37724408957,213.83240942667845,20.13772093077656,18356.414164119964,26039.070683003058
390.0,34.296286609505344,3.973945407669067,14479.549333899744,20434.74863818014,214.33718604696384,20.138676254833637,14395.957831341428,20441.891357354732
400.0,35.28497535988083,5.3721624474157945,17029.150330768432,24040.4289465918,217.0497767372973,20.581194392900326,16942.330420073515,24046.78602481947
410.0,34.202123249571095,3.840778306971437,16982.301558201878,23974.174777047647,216.1687443439319,20.30498791422725,16893.67237302087,23981.78145665501
420.0,35.57995048520227,5.7893202702080675,14366.966237471277,20275.53209631704,218.52332107346962,20.675903260134792,14275.186442620421,20282.5197271668
430.0,35.23236182358681,5.29775567082437,14046.381672904761,19822.157057219603,218.52038556969896,20.57531615938066,13952.41790710979,19829.920957178845
440.0,33.79412072592551,3.6101958588173617,20589.544399482427,29075.586525959858,218.54450242687426,20.480139530815716,20493.3848184146,29084.13822888949
450.0,35.5425424905102,5.73641737677337,16418.034513867635,23176.18067014998,221.31309295538875,20.933857636518614,16318.443622037708,23183.80120584411
460.0,34.07553215372411,3.6664781443770815,21259.921114219254,30023.6423678398,220.82322860487238,20.735884766415346,21158.342429061013,30032.401462502046
470.0,35.7022361685504,5.962258342083062,14910.051069744857,21043.570031637457,222.88632215752048,21.048503476944962,14805.294498330823,21051.812923980553
480.0,35.38581860729122,5.514776335577306,15508.662184165847,21890.133988238897,223.1095040779374,20.99313986102835,15401.569622208437,21899.07958286869
490.0,35.67203042525531,5.919540970253583,20241.3672698413,28583.18970711324,225.72585926310322,21.41641089806151,20130.76159880238,28591.20159129983
500.0,34.94958161822301,4.897844069228236,19221.72453970919,27141.19712938528,224.77239783731125,21.125718612903118,19109.338340790535,27150.75382723338
510.0,36.25399307476027,6.742560441978076,20286.125922949283,28646.4880013721,227.06384772963355,21.484008591367573,20170.32336060717,28655.30437634121
520.0,35.14925136421533,5.180219732006176,20467.414106522378,28902.868209279157,227.15659364436195,21.402557774313255,20349.29267782731,28912.524640882293
530.0,36.07692468480933,6.492147923441889,16388.056127052998,23133.784828938653,227.94061394144143,21.459361833729155,16267.247601664034,23143.788845104824
540.0,35.488469906612686,5.6599471952729425,20434.208362225538,28855.908195345874,229.13854796030773,21.59894863750241,20310.47354632697,28865.94980920812
550.0,35.57546628550906,5.782978654185547,21007.888520269953,29667.214455316625,229.28874899746688,21.528988844934243,20881.779708321345,29678.103013461336
560.0,35.5848428320488,5.7962390934702706,19010.795985822406,26842.89910778685,230.49794196559253,21.670827438559375,18881.717138321674,26853.819967337706
570.0,35.877423952354484,6.2100112819008775,20576.020541867903,29056.460903105795,232.63471521360998,21.998182088162864,20443.418754196144,29066.660423123303
580.0,35.513145050307365,5.694843118139463,20624.65220888496,29125.23646616213,232.00857093310515,21.772953232061898,20490.08723774376,29136.94875999892
590.0,36.61615490295246,7.254734611181304,20565.74043224141,29041.92263264933,234.86929755828356,22.24509855709758,20427.167546682023,29052.284298337527
600.0,36.67408379836277,7.336658440723867,17805.58438122484,25138.47251103553,234.60940617739521,22.093120280919912,17664.818737518402,25150.078851462848
610.0,37.4804723397558,8.477064052504144,17077.08579359274,24108.219928236573,236.31446306220542,22.33413165788195,16932.9339711248,24119.411476055684
620.0,36.11593175453779,6.5473122504803145,21339.853212602487,30136.68342544231,236.5461464111828,22.280468327677426,21193.194601827552,30148.732110831854
630.0,37.66960856381384,8.74454306570306,17549.5685231538,24776.41141236888,237.5206397784841,22.37536700113769,17399.930520093356,24788.67715664406
640.0,36.63691802758145,7.284098103628873,21691.869189400604,30634.509194002218,239.25908231168378,22.62305550777762,21538.743376721126,30646.301270745855
650.0,38.01437196195305,9.232112139161366,17510.439286960347,24721.074315858797,239.02166264144788,22.47557157373044,17355.075206243404,24734.18812799355
660.0,36.691187114324784,7.36084618211889,21575.989887093256,30470.63111308083,240.9982594776662,22.77089094097411,21416.931035837995,30483.03513928761
670.0,37.54910833541058,8.574130008426115,18833.32150999124,26591.912297091356,240.2122965740487,22.513698360250604,18672.379271286627,26606.196504172476
680.0,37.603515602100146,8.651073502870144,18668.524775161924,26358.854519660938,240.94607069177533,22.560453183795936,18504.681447091516,26373.60794403496
690.0,37.144148043151304,8.00142967089047,21202.399421529182,29942.29440990684,243.5391469559554,22.979068436631948,21034.357410129574,29955.71026086351
700.0,37.37812775165796,8.33232694798069,21910.35745105415,30943.498256851984,244.33684367771735,23.038607780984336,21739.32166047975,30957.30881045907
710.0,37.4031078669628,8.367654165834432,21176.493561304138,29905.657991031643,243.98713187403365,22.868665420247595,21003.262697673574,29921.021072585714
720.0,36.79832684221401,7.512364638368797,23335.38654181459,32958.7937237816,243.9299525209541,23.133220412889564,23159.756975999502,32975.449642478874
730.0,36.85259726539756,7.589114606870704,22492.744232556786,31767.117541799827,245.90892907855363,23.053024861151588,22313.230714329442,31782.994120895986
740.0,37.18085597054707,8.053342519660175,23231.651908092026,32812.09079788334,247.04320766790426,23.179880579021717,23048.839934417778,32828.04433939876
750.0,37.77501080672272,8.893604347129335,23459.590901841955,33134.44521423817,248.96530537192479,23.464300119825825,23272.866922813013,33149.63631184329
760.0,38.79959541433545,10.342585795013976,19881.690293688844,28074.529649365093,249.0941484559325,23.39006873662737,19692.378740862332,28090.8596164017
770.0,37.64378655772402,8.708025234483152,22764.222591822112,32151.045919363645,249.930013676496,23.457241780740066,22571.77648129121,32167.769488043556
780.0,37.959591011305584,9.154640175796029,21214.879830411966,29959.944373412836,248.79318976151728,24.74084572448574,21020.821142397985,29979.242233077937
790.0,37.89653450777566,9.065464813308187,23903.078502412132,33761.63139370881,251.97393594341105,23.666026234123073,23704.01909301684,33778.7402695782
800.0,37.602341150054315,8.649412576858579,24301.719899383257,34325.39546382873,251.2961267672425,24.029585389969828,24100.682997969463,34344.61913214072
810.0,37.426647877681695,8.400944768251508,23961.88090051941,33844.79054261219,251.78404963307696,24.753771818087856,23757.93582031662,33864.84109778484
820.0,39.031588252624,10.670673213295068,21002.699668134617,29659.876310253683,254.0075571162958,23.77275046870003,20794.413471299253,29678.75555642584
830.0,38.48111980538929,9.892193269557293,22890.180808400874,32329.17773754166,255.56291264889393,23.983821575219654,22678.063590902293,32347.635343622536
840.0,37.92536213646081,9.106233236765782,23592.075152014502,33321.80623763301,255.22131264095066,24.135388542028842,23377.689249396106,33342.07996400832
850.0,38.14753457382671,9.420432510874122,23444.199549442656,33112.678554931816,255.10965301230465,25.707512665602668,23227.356344382195,33134.529940697576
860.0,38.35153184096773,9.708928212751994,23801.95404593431,33618.619815870275,257.4848223422711,24.068203513895085,23580.51709871996,33639.05576328208
870.0,38.366096526394486,9.729525788414211,23191.700792747644,32755.591388731387,255.7553918433672,27.62272717770926,22969.193601843912,32779.62316137599
880.0,37.8995508455441,9.069730559089008,24950.786803896088,35243.3146830783,256.8983926772195,27.420493459044735,24724.716218340138,35267.444717322265
890.0,37.32206690426401,8.253044937278037,26832.007585907493,37903.762626816955,257.46038183256337,28.039934336023876,26602.86784607651,37928.71816837601
900.0,38.3265800834968,9.673641098931565,24257.37860246464,34262.687400353214,259.511951844187,26.55278976380089,24023.81784580487,34286.584911140635
910.0,38.5601624738333,10.003976483276972,25006.219614532594,35321.70851568091,260.07141553423514,27.17580218805264,24769.55462639644,35346.43849567204
920.0,40.18419557733435,12.300706123991018,21960.011206704945,31013.719271516096,263.3803768890266,24.647314423246183,21717.70125996704,31035.7168742232
930.0,37.90612877201342,9.079033151914212,26535.144962500563,37483.93547863322,262.1176959705041,27.110351767408474,26291.375505247994,37509.148105776905
940.0,37.80583157826117,8.93719150024182,27516.743319834448,38872.12518837795,260.9497031957756,30.176356552556403,27271.45059883042,38900.49096353735
950.0,39.5390843071312,11.388381016429992,23376.97464333375,33017.60818098334,262.82409701265544,28.939776957869746,23127.291751171728,33045.10096909332
