Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,45.064387389560004,7.574475444998,229.67404038288905,-38.360332631579816,theoretical,0.22
203.44766770921817,45.29974101211866,7.73024801841405,230.44626053503646,-39.15350621974996,theoretical,0.22
206.95476748160223,45.53976013585688,7.889539435985636,231.2225429476099,-39.96306817624175,theoretical,0.22
210.52232382717756,45.78454634251858,8.052441551763804,232.00296822535748,-40.789362453841285,theoretical,0.22
214.1513789168204,46.03420370063234,8.219049004154119,232.78761873036117,-41.632740541715776,theoretical,0.22
217.84299288670067,46.288838833962,8.389459311787729,233.57657862512187,-42.49356164414458,theoretical,0.22
221.59824414797524,46.54856099202684,8.56377297303146,234.36993391683154,-43.372192864015396,theoretical,0.22
225.4182297018173,46.81348212275797,8.742093569285503,235.16777250286918,-44.26900939123098,theoretical,0.22
229.30406545987765,47.083716947359655,8.92452787222402,235.97018421755686,-45.184394696178025,theoretical,0.22
233.25688657026996,47.35938303744695,9.111185955140442,236.77726088021507,-46.1187407284151,theoretical,0.22
237.27784774917558,47.64060089453286,9.30218130856651,237.58909634455614,-47.072448120741285,theoretical,0.22
241.36812361816362,47.927494031941194,9.497630960341255,238.4057865494569,-48.04592639881359,theoretical,0.22
245.5289090473282,48.220189059223664,9.697655600314059,239.22742957115275,-49.03959419648762,theoretical,0.22
249.76141950433833,48.518815769162146,9.902379709873728,240.05412567689646,-50.05387947706077,theoretical,0.22
254.0668914095063,48.82350722744019,10.111931696504127,240.88597738012635,-51.089219760605225,theoretical,0.22
258.4465824969762,49.1343998650704,10.326444033575703,241.72308949719107,-52.14606235758404,theoretical,0.22
262.90177218213927,49.45163357366713,10.546053405591309,242.56556920567786,-53.22486460895075,theoretical,0.22
267.43376193538245,49.77535180365737,10.77090085911459,243.41352610439426,-54.326094132939986,theoretical,0.22
272.04387566227916,50.10570166552512,11.001131959619018,244.26707227505423,-55.45022907876479,theoretical,0.22
276.7334600903361,50.44283403418868,11.236896954506577,245.12632234572118,-56.59775838744392,theoretical,0.22
281.5038851624044,50.78690365661264,11.47835094255564,245.99139355606263,-57.769182059990044,theoretical,0.22
286.3565444368738,51.13806926276046,11.725654050069592,246.86240582447223,-58.96501143319945,theoretical,0.22
291.29285549476526,51.496493679996924,11.97897161400963,247.73948181711782,-60.1857694632921,theoretical,0.22
296.3142603538418,51.86234395105335,12.238474372407763,248.62274701897482,-61.43199101766008,theoretical,0.22
301.4222258898558,52.235791455672064,12.50433866236934,249.51232980690705,-62.704223174992386,theoretical,0.22
306.6182442650613,52.61701203605138,12.776746625988482,250.40836152485906,-64.00302553405454,theoretical,0.22
311.90383336411037,53.00618612621505,13.055886424513796,251.310976561226,-65.32897053141068,theoretical,0.22
317.28053723746433,53.40349888543576,13.341952461117495,252.2203124284686,-66.68264376838812,theoretical,0.22
322.74992655244927,53.80914033584567,13.635145612636542,253.13650984504466,-68.06464434759496,theoretical,0.22
328.3135990520866,54.22330550437186,13.935673470671261,254.05971281972893,-69.47558521931349,theoretical,0.22
333.973180021832,54.64619456913901,14.243750592444135,254.9900687383968,-70.91609353810378,theoretical,0.22
339.73032276436277,55.07801301048706,14.559598761840043,255.92772845334983,-72.38681102996668,theoretical,0.22
345.58670908254754,55.518971766755335,14.883447261067811,256.8728463752624,-73.88839437042591,theoretical,0.22
351.5440497707418,55.96928739499132,15.215533153403323,257.82558056783336,-75.42151557390548,theoretical,0.22
357.6040851145536,56.42918223674629,15.556101577495369,258.78609284522696,-76.98686239479194,theoretical,0.22
363.7685853992233,56.89888458912631,15.905406053737051,259.7545488723929,-78.58513874058673,theoretical,0.22
370.039351426768,57.37862888127246,16.263708803228877,260.73111826835543,-80.2170650975693,theoretical,0.22
376.4182150420384,57.86865585645011,16.631281079883422,261.7159747125665,-81.88337896940811,theoretical,0.22
382.90703966784827,58.3692127599335,17.008403516247103,262.709296054421,-83.58483532917556,theoretical,0.22
