Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,44.39923038012,7.790651473066002,263.5914517871546,-44.927638884364924,theoretical,0.19
203.44766770921817,44.58328258236151,7.944042200648905,264.35186544203117,-45.8377282781134,theoretical,0.19
206.95476748160223,44.77172433028712,8.100730304194899,265.11546216108485,-46.76617852312993,theoretical,0.19
210.52232382717756,44.96467360488157,8.260799754610378,265.88231797130857,-47.71336368926603,theoretical,0.19
214.1513789168204,45.16225189229412,8.424337146066962,266.65251094595857,-48.67966576464261,theoretical,0.19
217.84299288670067,45.36458429542687,8.591431794331447,267.426121265411,-49.66547483820743,theoretical,0.19
221.59824414797524,45.57179964922591,8.762175839280864,268.2032312799572,-50.67118928717096,theoretical,0.19
225.4182297018173,45.78403063980095,8.936664351794963,268.98392557460295,-51.69721596947741,theoretical,0.19
229.30406545987765,46.001413927503535,9.114995445228168,269.76829103593514,-52.743970421475225,theoretical,0.19
233.25688657026996,46.22409027409813,9.297270391672505,270.5564169211291,-53.81187706095797,theoretical,0.19
237.27784774917558,46.452204674165564,9.483593743233389,271.3483949291644,-54.901369395752056,theoretical,0.19
241.36812361816362,46.68590649088214,9.67407345855072,272.1443192743234,-56.012890238035155,theoretical,0.19
245.5289090473282,46.925349596324004,9.868821034809399,272.94428676204967,-57.14689192457776,theoretical,0.19
249.76141950433833,47.170692516449904,10.067951645494626,273.74839686724346,-58.30383654310507,theoretical,0.19
254.0668914095063,47.42209858092233,10.271584284160351,274.5567518150771,-59.48419616498761,theoretical,0.19
258.4465824969762,47.67973607793117,10.479841914491933,275.36945666441255,-60.688453084474666,theoretical,0.19
262.90177218213927,47.943778414190774,10.692851626957916,276.18661939390984,-61.917100064694964,theoretical,0.19
267.43376193538245,48.21440428028625,10.910744802360158,277.00835099091535,-63.17064059065717,theoretical,0.19
272.04387566227916,48.491797821551636,11.1336572826067,277.8347655432226,-64.44958912949222,theoretical,0.19
276.7334600903361,48.77614881466842,11.36172954904766,278.6659803338038,-65.75447139819141,theoretical,0.19
281.5038851624044,49.06765285017951,11.595106908730918,279.50211593860746,-67.08582463909988,theoretical,0.19
286.3565444368738,49.36651152112049,11.833939688952107,280.3432963275296,-68.44419790344179,theoretical,0.19
291.29285549476526,49.672932617976834,12.078383440491615,281.18964896866174,-69.83015234316053,theoretical,0.19
296.3142603538418,49.98713033018332,12.328599149950705,282.0413049359269,-71.24426151137084,theoretical,0.19
301.4222258898558,50.30932545438855,12.584753461618961,282.89839902021674,-72.68711167173137,theoretical,0.19
306.6182442650613,50.6397456097163,12.84701890932694,283.7610698441474,-74.15930211706097,theoretical,0.19
311.90383336411037,50.97862546026212,13.115574158759696,284.6294599805574,-75.6614454975328,theoretical,0.19
317.28053723746433,51.32620694507297,13.390604260730871,285.5037160748696,-77.19416815879623,theoretical,0.19
322.74992655244927,51.68273951586549,13.672300915941412,286.383988971452,-78.75811049039217,theoretical,0.19
328.3135990520866,52.04848038274758,13.960862751772943,287.2704338441078,-80.35392728484044,theoretical,0.19
333.973180021832,52.42369476821697,14.256495611693108,288.16321033083625,-81.9822881077963,theoretical,0.19
