Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,44.0666518754,7.726907259661334,246.79623729879464,-41.6323402000976,theoretical,0.19
203.44766770921817,44.239139046792985,7.879131487669365,247.5508684382469,-42.48451533548348,theoretical,0.19
206.95476748160223,44.4156136033677,8.034591720209129,248.30848156162514,-43.354032345086715,theoretical,0.19
210.52232382717756,44.59617954144501,8.193368699336652,249.0691457035903,-44.24124664783305,theoretical,0.19
214.1513789168204,44.780943876209804,8.355545620498129,249.83293170191644,-45.14652120229909,theoretical,0.19
217.84299288670067,44.97001673638887,8.521208221922501,250.59991224989196,-46.07022667973853,theoretical,0.19
221.59824414797524,45.16351146204344,8.690444877728867,251.37016195036603,-47.01274164166443,theoretical,0.19
225.4182297018173,45.36154470558179,8.863346694916428,252.14375737149334,-47.974452722130145,theoretical,0.19
229.30406545987765,45.56423653610066,9.040007614412895,252.92077710423362,-48.95575481485941,theoretical,0.19
233.25688657026996,45.77171054716816,9.220524516365442,253.70130182166406,-49.95705126538027,theoretical,0.19
237.27784774917558,45.98409396816464,9.404997329867307,254.4854143401639,-50.97875406832397,theoretical,0.19
241.36812361816362,46.201517779301795,9.593529147322064,255.2731996825332,-52.02128407005578,theoretical,0.19
245.5289090473282,46.42411683044489,9.78622634365771,256.0647451431101,-53.085071176812235,theoretical,0.19
249.76141950433833,46.65202996386654,9.983198700612304,256.8601403549518,-54.17055456852404,theoretical,0.19
254.0668914095063,46.88540014106581,10.184559536324125,257.6594773591488,-55.278182918512876,theoretical,0.19
258.4465824969762,47.12437457378995,10.39042584047004,258.46285067634193,-56.4084146192568,theoretical,0.19
262.90177218213927,47.36910485940187,10.600918415207845,259.27035738051535,-57.56171801442623,theoretical,0.19
267.43376193538245,47.61974712074044,10.816162022190445,260.0820971751424,-58.7385716374016,theoretical,0.19
272.04387566227916,47.87646215062627,11.036285535932771,260.89817247175995,-59.93946445649056,theoretical,0.19
276.7334600903361,48.13941556117094,11.261422103826014,261.7186884710551,-61.16489612707381,theoretical,0.19
281.5038851624044,48.40877793805265,11.49170931310767,262.543753246544,-62.415377250914084,theoretical,0.19
286.3565444368738,48.684724999927106,11.727289365111249,263.37347783093287,-63.69142964287626,theoretical,0.19
291.29285549476526,48.9674377631485,11.968309257135012,264.20797630524754,-64.99358660531382,theoretical,0.19
