Species,Processed,Source,Uncertainty
Ar,false,failed,NaN
C+,false,failed,NaN
C-,false,failed,NaN
C,false,failed,NaN
CH2,false,failed,NaN
CH2O,false,failed,NaN
CH3,false,failed,NaN
CH4,false,failed,NaN
CHO+,false,failed,NaN
CHO,false,failed,NaN
CHOOH,false,failed,NaN
CN+,false,failed,NaN
CN-,false,failed,NaN
CN,false,failed,NaN
CO+,false,failed,NaN
CO-,false,failed,NaN
CO,false,failed,NaN
CO2+,false,failed,NaN
CO2,false,failed,NaN
H+,false,failed,NaN
H-,false,failed,NaN
H,false,failed,NaN
H2+,false,failed,NaN
H2,false,failed,NaN
H2O+,false,failed,NaN
H2O,false,failed,NaN
H2O2,false,failed,NaN
H3O+,false,failed,NaN
HCN,false,failed,NaN
HCNO,false,failed,NaN
HNO+,false,failed,NaN
HNO,false,failed,NaN
HNO2+,false,failed,NaN
HNO3+,false,failed,NaN
HNO3,false,failed,NaN
HO2-,false,failed,NaN
HO2,false,failed,NaN
HONO,false,failed,NaN
He+,false,failed,NaN
He,false,failed,NaN
N+,false,failed,NaN
N-,false,failed,NaN
N,false,failed,NaN
N2+,false,failed,NaN
N2,false,failed,NaN
N2H4,false,failed,NaN
N2O+,false,failed,NaN
N2O,false,failed,NaN
NCN,false,failed,NaN
NCO,false,failed,NaN
NH3,false,failed,NaN
NO+,false,failed,NaN
NO-,false,failed,NaN
NO,false,failed,NaN
NO2+,false,failed,NaN
NO2-,false,failed,NaN
NO2,false,failed,NaN
NO3-,false,failed,NaN
Ne,false,failed,NaN
O+,false,failed,NaN
O-,false,failed,NaN
O,false,failed,NaN
O2+,false,failed,NaN
O2-,false,failed,NaN
O2,false,failed,NaN
O3+,false,failed,NaN
O3,false,failed,NaN
OH+,false,failed,NaN
OH-,false,failed,NaN
OH,false,failed,NaN
S+,false,failed,NaN
S,false,failed,NaN
SO,false,failed,NaN
SO2,false,failed,NaN
SO3,false,failed,NaN
Xe+,false,failed,NaN
Xe,false,failed,NaN
e-,false,failed,NaN
