Temperature,Cp,H,S,G,Source,Uncertainty
200.00000000000003,42.73633785652001,7.108865538390002,223.8567145888763,-37.662477379385265,theoretical,0.21
203.44766770921817,42.977721067336674,7.25662199424889,224.58919554834935,-38.435526032752314,theoretical,0.21
206.95476748160223,43.22448211517245,7.407781499172713,225.32584786333447,-39.224476952978556,theoretical,0.21
210.52232382717756,43.476756017512685,7.562436897781599,226.06676459732526,-40.02966372533882,theoretical,0.21
214.1513789168204,43.73468159068824,7.720684056157046,226.81204115375957,-40.851427311859176,theoretical,0.21
217.84299288670067,43.9984015665263,7.882621975563623,227.56177534193853,-41.69011623153527,theoretical,0.21
221.59824414797524,44.26806271279146,8.048352910917663,228.31606744497233,-42.54608674565889,theoretical,0.21
225.4182297018173,44.543815957543956,8.217982494215226,229.0750202898167,-43.41970304842314,theoretical,0.21
229.30406545987765,44.82581651754669,8.391619863142093,229.8387393194703,-44.31133746298548,theoretical,0.21
233.25688657026996,45.114224030857294,8.569377795098733,230.60733266740158,-45.22137064317387,theoretical,0.21
237.27784774917558,45.4092026937456,8.751372846884292,231.3809112342791,-46.15019178102849,theoretical,0.21
241.36812361816362,45.71092140208219,8.937725500295045,232.15958876707944,-47.098198820379416,theoretical,0.21
245.5289090473282,46.019553897348665,9.128560313905112,232.94348194065157,-48.06579867666907,theoretical,0.21
249.76141950433833,46.33527891742479,9.324006081309522,233.7327104418169,-49.05340746323515,theoretical,0.21
254.0668914095063,46.65828035231394,9.524195996123387,234.5273970560886,-50.06145072428004,theoretical,0.21
258.4465824969762,46.9887474049731,9.729267824044578,235.32766775709564,-51.090363674760646,theoretical,0.21
262.90177218213927,47.326874757419475,9.939364082302204,236.13365179880097,-52.140591447442766,theoretical,0.21
267.43376193538245,47.672862742291954,10.154632226828262,236.94548181060475,-53.212589347373495,theoretical,0.21
272.04387566227916,48.026917520051356,10.37522484750615,237.76329389542747,-54.30682311403547,theoretical,0.21
276.7334600903361,48.38925126201021,10.601299871866594,238.587227730872,-55.42376919145861,theoretical,0.21
281.5038851624044,48.76008233938867,10.83302077761904,239.41742667356428,-56.563915006574376,theoretical,0.21
286.3565444368738,49.13963551860058,11.070556814425467,240.2540378667786,-57.72775925611108,theoretical,0.21
291.29285549476526,49.52814216298024,11.314083235342936,241.09721235145537,-58.91581220234029,theoretical,0.21
296.3142603538418,49.925840441168,11.563781538381635,241.94710518072318,-60.12859597799752,theoretical,0.21
301.4222258898558,50.33297554237967,11.81983971864668,242.80387553804067,-61.36664490071304,theoretical,0.21
306.6182442650613,50.7497998987936,12.082452531554708,243.66768685907888,-62.63050579730482,theoretical,0.21
311.90383336411037,51.176573415295714,12.35182176763944,244.5387069574664,-63.92073833829717,theoretical,0.21
317.28053723746433,51.61356370683268,12.628156539485888,245.41710815452603,-65.23791538304702,theoretical,0.21
322.74992655244927,52.061046343630665,12.911673581358388,246.30306741313524,-66.58262333587398,theoretical,0.21
328.3135990520866,52.5193051045468,13.202597562115363,247.19676647584637,-67.95546251360796,theoretical,0.21
333.973180021832,52.98863223882918,13.501161412032204,248.09839200740905,-69.35704752498526,theoretical,0.21
339.73032276436277,53.469328736571164,13.807606664184114,249.00813574183982,-70.78800766234338,theoretical,0.21
345.58670908254754,53.96170460815481,14.122183811071963,249.926194634191,-72.24898730608236,theoretical,0.21
351.5440497707418,54.46607917298934,14.445152677207844,250.8527710171743,-73.74064634238218,theoretical,0.21
357.6040851145536,54.982781357860226,14.776782808411687,251.78807276280133,-75.26366059468654,theoretical,0.21
363.7685853992233,55.51215000521595,15.11735387860701,252.73231344920782,-76.81872226948443,theoretical,0.21
370.039351426768,56.0545341917303,15.467156114942217,253.68571253283378,-78.4065404169451,theoretical,0.21
376.4182150420384,56.61029355748971,15.826490742104237,254.64849552613893,-80.02784140698549,theoretical,0.21
382.90703966784827,57.17979864616807,16.1956704467341,255.62089418103824,-81.68336942137555,theoretical,0.21
389.50772084932396,57.76343125656189,16.575019862897644,256.60314667824724,-83.37388696251121,theoretical,0.21
396.2221868076408,58.36158480587405,16.96487607961238,257.59549782273615,-85.10017537951502,theoretical,0.21
403.05239900330326,58.974664705145635,17.36558917147974,258.59819924549544,-86.8630354123514,theoretical,0.21
410.0003527091367,59.60308874725031,17.777522753524085,259.611509611826,-88.663287754676,theoretical,0.21
417.06807759315336,60.24728750787939,18.201054561393434,260.63569483636996,-90.50177363616714,theoretical,0.21
424.25763831147134,60.90770475996112,18.636577058134495,261.6710283051097,-92.37935542512551,theoretical,0.21
431.57113511144934,61.58479790197188,19.08449806881328,262.7177911045679,-94.29691725215771,theoretical,0.21
439.01070444522117,62.27903840061395,19.54524144431623,263.77627225845,-96.25536565580033,theoretical,0.21
446.5785195938056,62.990912248350185,20.019247755732106,264.8467689719786,-98.25563025097672,theoretical,0.21
454.2767913019756,63.720920436302876,20.50697502078425,265.92958688417923,-100.29866442122062,theoretical,0.21
462.1077684240713,64.46957944304192,21.008899463855517,267.025040328383,-102.3854460356412,theoretical,0.21
470.07373858094394,65.23742173980472,21.525516311224354,268.13345260122264,-104.51697819164869,theoretical,0.21
478.17702882822874,66.02499631271031,22.057340623211214,269.255156240409,-106.69428998450809,theoretical,0.21
486.4200063361335,66.83286920254795,22.604908165017797,270.39049331158134,-108.91843730483185,theoretical,0.21
494.80507908094734,67.66162406274161,23.1687763181311,271.53981570453806,-111.19050366517871,theoretical,0.21
503.3346965484699,68.51186273611215,23.74952503425662,272.7034854391639,-113.51160105697501,theoretical,0.21
512.0113504495667,69.38420585108041,24.34775783384298,273.8818749813801,-115.88287083903286,theoretical,0.21
520.8375754480575,70.2792934379764,24.964102851362657,275.0753675694541,-118.30548465899504,theoretical,0.21
529.815949901156,71.19778556614361,25.599213929621875,276.28435755102174,-120.78064540910336,theoretical,0.21
538.9490966126708,72.14036300254972,26.253771765485077,277.50925073117963,-123.30958821774334,theoretical,0.21
548.2396835991898,73.10772789264098,26.928485109519308,278.75046473202326,-125.89358147829225,theoretical,0.21
557.6904248694742,74.10060446420236,27.62409202218856,280.0084293640185,-128.5339279168651,theoretical,0.21
567.304081217288,75.11973975501178,28.341361189359507,281.2835870096038,-131.23196570062686,theoretical,0.21
577.0834610278905,76.16590436510378,29.08109330001804,282.57639301943925,-133.9890695884174,theoretical,0.21
587.031421098439,77.2398932344875,29.844122489241986,283.8873161217289,-136.8066521255183,theoretical,0.21
597.1508674725266,78.34252644719045,30.63131784962646,285.216838845059,-139.6861648844723,theoretical,0.21
607.4447562891097,79.47465006253238,31.443585014519837,286.5654579552099,-142.62909975395976,theoretical,0.21
617.9160946460689,80.63713697456294,32.28186781659627,287.9336849064153,-145.63699027782764,theoretical,0.21
628.567941478656,81.83088780062988,33.147150025467575,289.3220463075574,-148.7114130464662,theoretical,0.21
639.403408453085,83.05683180007782,34.04045716822368,290.73108440380577,-151.85398914283127,theoretical,0.21
650.4256608755236,84.31592782411157,34.96285843698581,292.16135757422217,-155.0663856455178,theoretical,0.21
661.6379186167607,85.60916529789552,35.91546868776309,293.6134408458748,-158.35031719140687,theoretical,0.21
673.0434570528072,86.93756523599454,36.899450535117744,295.0879264250204,-161.7075476005224,theoretical,0.21
684.6456080217147,88.30218129230352,37.916016547372685,296.585424245935,-165.13989156586365,theoretical,0.21
696.4477607968871,89.70410084564958,38.966431547332625,298.1065625379933,-168.64921641111,theoretical,0.21
708.4533630771713,91.14444612229363,40.0520150237415,299.6519884116153,-172.23744391922895,theoretical,0.21
720.6659219940121,92.62437535659926,41.17414365896195,301.2223684637227,-175.9065522351668,theoretical,0.21
733.0890051359754,94.14508399118185,42.33425397864091,302.8183894033685,-179.6585778459529,theoretical,0.21
745.7262415909262,95.70780591789492,43.533845129414786,304.4407586982255,-183.495617641703,theoretical,0.21
758.5813230061743,97.31381476105865,44.77448179101579,306.0902052426447,-187.41983106118107,theoretical,0.21
771.6580046668961,98.964425204384,46.05779722946203,307.76748004801607,-191.43344232574879,theoretical,0.21
784.9601065931449,100.6609943630955,47.38549649835238,309.47335695619364,-195.53874276571977,theoretical,0.21
798.4915146557738,102.40492320280849,48.75935979564325,311.20863337676906,-199.7380932433265,theoretical,0.21
812.2561817115907,104.19765800676952,50.18124598365781,312.9741310490059,-204.0339266767107,theoretical,0.21
826.25812875809,106.0406918931263,51.65309628047301,314.77069682927834,-208.42875066956657,theoretical,0.21
840.5014461080814,107.93556638394773,53.17693813124044,316.5992035048795,-212.9251502512775,theoretical,0.21
854.9902945845712,109.88387302777782,54.754889268434546,318.46055063510346,-217.52579073263732,theoretical,0.21
869.7289067362418,111.88725507756659,56.3891619704771,320.3556654205286,-222.23342068248056,theoretical,0.21
884.7215880738834,113.94740922588603,58.082067528667444,322.2855036014666,-227.0508750308133,theoretical,0.21
899.972718328136,116.0660873994036,59.83602093285342,324.2510503865711,-231.98107830430237,theoretical,0.21
915.4867527289218,118.24509861465796,61.65354578681006,326.25332141263937,-237.02704800027237,theoretical,0.21
931.2682233069243,120.48631089724628,63.53727946484897,328.29336373666905,-242.19189810565265,theoretical,0.21
947.3217402175053,122.79165326661125,65.48997852177125,330.37225686127493,-247.47884276763637,theoretical,0.21
963.6519930874465,125.1631177886885,67.51452436889352,332.4911137946043,-252.89120012314189,theoretical,0.21
980.2637523849029,127.60276169875432,69.61392922952442,334.65108214593306,-258.43239629451637,theoretical,0.21
997.1618708129761,130.11270959689486,71.79134238795469,336.8533452581596,-264.1059695592811,theoretical,0.21
1014.3512847273032,98.57304073529372,61.926326834823094,327.6568977511294,-270.4328683487976,theoretical,0.21
1031.8370155780945,100.16333803744483,63.66383002385802,329.35518317128407,-276.17703924477644,theoretical,0.21
1049.6241713770175,101.79669901243172,65.4599539509033,331.0810152753687,-282.0506823661673,theoretical,0.21
1067.7179481893745,103.47441020270836,67.3169941430985,332.835141020588,-288.0570597127249,theoretical,0.21
1086.123631652,105.19779925237611,69.23734553894253,334.6183297023445,-294.1995299346942,theoretical,0.21
1104.846598517328,106.96823627376101,71.22350708022825,336.4313736683381,-300.48155175174725,theoretical,0.21
1123.8923182240662,108.7871352604306,73.27808652517167,338.2750890564174,-306.90668751189776,theoretical,0.21
1143.2663544949635,110.65595554824927,75.40380549369885,340.1503165569903,-313.47860689671927,theoretical,0.21
1162.9743669621025,112.57620332612031,77.60350475639882,342.0579222008268,-320.20109077947984,theoretical,0.21
1183.0221128202206,114.54943319812564,79.88014977924128,343.99879817312103,-327.078035243141,theoretical,0.21
1203.415448508527,116.57724979883008,82.2368365367631,345.97386365470305,-334.11345576548945,theoretical,0.21
1224.160331421514,118.66130946357872,84.67679760707445,347.9840656913264,-341.3114915790256,theoretical,0.21
1245.2628216492526,120.80332195567932,87.20340856270865,350.03038009198696,-348.67641021359935,theoretical,0.21
1266.7290837477024,123.00505225242883,89.82019467205433,352.113812357261,-356.2126122301694,theoretical,0.21
1288.5653885395245,125.2683223920066,92.5308379268498,354.2353986386879,-363.92463615446445,theoretical,0.21
1310.7781149459438,127.59501338333145,95.3391844120102,356.39620673025195,-371.81716361975435,theoretical,0.21
1333.3737518501885,129.98706718104984,98.24925203488161,358.5973370930613,-379.89502472838024,theoretical,0.21
1356.358899993053,132.446488727898,101.26523863188346,360.83992391435424,-388.16320364216705,theoretical,0.21
1379.740273901138,134.97534806675787,104.39153047141554,363.1251362020048,-396.6268444123266,theoretical,0.21
1403.5247038483215,137.5757825248077,107.63271117286203,365.4541789157384,-405.29125705998115,theoretical,0.21
1427.7191378510606,140.24999897225263,110.99357106254051,367.8282941363131,-414.16192391898284,theoretical,0.21
1452.3306436980697,143.00027615820164,114.47911698849458,370.24876227395947,-423.2445062532585,theoretical,0.21
1477.366411014999,145.828967126353,118.09458261715537,372.71690331742366,-432.5448511615311,theoretical,0.21
1502.8337533646984,148.7385017132368,121.84543923606051,375.23407812499835,-442.0689987828732,theoretical,0.21
1528.7401103836928,151.7313891318611,125.73740708806004,377.80168975897936,-451.8231898172277,theoretical,0.21
1555.0930499554747,154.81022064370612,129.7764672637276,380.421184865029,-461.81387337570584,theoretical,0.21
1581.90027042128,157.9776723221139,133.96887418006926,383.09405509798745,-472.0477151762218,theoretical,0.21
1609.1696028289543,161.23650791022308,138.321168675043,385.821838595715,-482.5316061007606,theoretical,0.21
1636.9090132205981,164.58958177671224,142.84019174892165,388.6061215026132,-493.2726711314048,theoretical,0.21
1665.126604959642,168.0398419727242,147.53309898511074,391.448539544523,-504.2782786830709,theoretical,0.21
1693.8306210980388,171.59033339346314,152.4073756847018,394.35077965676,-515.5560503518037,theoretical,0.21
1723.0294467842637,175.24420104807604,157.47085275079584,397.3145816671063,-527.1138710983995,theoretical,0.21
1752.7316117128141,179.00469344155394,162.7317233604719,400.34174003563993,-538.9598998881077,theoretical,0.21
1782.9457926159548,182.87516607252334,168.19856046422402,403.43410565335256,-551.1025808082015,theoretical,0.21
1813.6808157983965,186.85908505092263,173.88033515471463,406.5935877015667,-563.5506546862597,theoretical,0.21
1844.945659715679,190.9600308397068,179.7864359488508,409.8221555742392,-576.3131712331657,theoretical,0.21
1876.7494575969986,195.18170212486055,185.92668902943728,413.1218408653048,-589.3995017359971,theoretical,0.21
1909.1015001132496,199.52791981815147,192.3113794950358,416.4947394232935,-602.8193523272507,theoretical,0.21
1942.0112380910514,204.00263119720594,198.9512736691503,419.94301347552533,-616.5827778581418,theoretical,0.21
1975.4882852735775,208.6099141876543,205.85764252249163,423.46889382427537,-630.7001964051249,theoretical,0.21
2009.5424211289596,213.3539817922483,213.04228626482018,427.07468211737284,-645.1824044402061,theoretical,0.21
2044.1835937071114,218.23918667203148,220.51756016578,430.7627531957933,-660.0405926971663,theoretical,0.21
2079.4219225457987,223.27002588481508,228.29640166718508,434.53555752088675,-675.2863627674078,theoretical,0.21
2115.267701626806,228.4511457863954,236.39235885242908,438.39562368397566,-690.9317444608242,theoretical,0.21
2151.7314023830622,233.78734710013617,244.81962034206865,442.345561001152,-706.9892139688626,theoretical,0.21
2188.823676757596,239.28359016073418,253.5930466881783,446.3880621962013,-723.4717128688094,theoretical,0.21
2226.555360315242,244.94500033819313,262.7282033438225,450.5259061746826,-740.3926680102988,theoretical,0.21
2264.937475407969,250.77687364822887,272.2413952879013,454.7619608922938,-757.7660123270682,theoretical,0.21
2303.9812343947797,256.7846825555567,282.14970338977736,459.09918632076824,-775.6062066191851,theoretical,0.21
2343.6980429171167,262.97408197672655,292.4710226024316,463.5406375146513,-793.9282623532093,theoretical,0.21
2384.0995032307346,269.3509154894096,303.2241020774693,468.0894677824308,-812.747765530163,theoretical,0.21
2425.1974175949927,275.9212217552702,314.4285873001063,472.74893196560515,-832.08090167367,theoretical,0.21
2467.0037917205996,282.6912411638187,326.1050643473386,477.52238982940855,-851.9444819932944,theoretical,0.21
2509.530838276769,289.66742270487975,338.2751063777989,482.4133095690292,-872.3559707808372,theoretical,0.21
2552.7909804588385,296.85643107758955,350.96132246742525,487.42527143529884,-893.3335141003068,theoretical,0.21
2596.7968556173946,304.26515404410395,364.187408910947,492.56197148396524,-914.8959698353187,theoretical,0.21
2641.5613189499536,311.90071003648313,377.9782031153887,497.8272254528006,-937.062939160907,theoretical,0.21
2687.0974472562707,319.77045602551186,392.3597402183127,503.22497277094766,-959.8547995101071,theoretical,0.21
2733.4185427584102,327.88199566052396,407.359312570387,508.75928070506086,-983.2927391092574,theoretical,0.21
2780.5381369866413,336.24318768960353,423.00553222905586,514.4343486469486,-1007.3987931596669,theoretical,0.21
2828.4699947323334,344.86215466987016,439.32839661770805,520.2545125475942,-1032.1958817472587,theoretical,0.21
2877.228118068989,353.7472919778882,456.3593575126945,526.2242495026003,-1057.7078495659382,theoretical,0.21
2926.8267504425935,362.907277130588,474.131393528966,532.3481824942701,-1083.9595075447592,theoretical,0.21
2977.28038083248,372.3510794274497,492.67908628392155,538.6310852957283,-1110.9766764735566,theoretical,0.21
3028.603747983904,382.0879699250682,512.038700428359,545.077887542664,-1138.7862327265025,theoretical,0.21
3080.81184471361,392.1275317556148,532.2482677432071,551.6936799784775,-1167.416156188126,theoretical,0.21
3133.919922289589,402.4796708010935,553.3476755109817,558.4837198788049,-1196.8955804916031,theoretical,0.21
3187.943494886355,413.154626735719,575.3787593817572,565.453436661611,-1227.2548456847594,theoretical,0.21
3242.8983441170135,424.16298444916316,598.3854009648176,572.6084376892493,-1258.5255534450791,theoretical,0.21
3298.800523643463,435.51568586385895,622.4136303891331,579.9545142691086,-1290.7406249711926,theoretical,0.21
3355.66636386605,447.22404216000893,647.5117340884035,587.4976478596975,-1323.9343616848046,theoretical,0.21
3413.512476694102,459.2997464224295,673.7303680797023,595.2440164892624,-1358.1425088839046,theoretical,0.21
3472.355760398659,471.7548867238267,701.1226770186471,603.2000013942592,-1393.402322495188,theoretical,0.21
3532.2134045488797,484.60195965963794,729.744419328763,611.3721938852789,-1429.752639081276,theoretical,0.21
3593.1028950335326,497.85388435007457,759.6540987181027,619.7674024482717,-1467.2339492661947,theoretical,0.21
3655.042019169059,511.52401692555617,790.9131024124604,628.3926600891937,-1505.8884747509624,theoretical,0.21
3718.048870895686,525.6261655122848,823.5858464515974,637.2552319304809,-1545.760249099896,theoretical,0.21
3782.141856063096,540.1746057352843,857.7399284128812,646.3626230680434,-1586.8952024874995,theoretical,0.21
3847.339697807251,555.1840967568489,893.4462879456962,655.7225866977818,-1629.3412506055367,theoretical,0.21
